ranking,score,title,number_of_episodes,emission_date,number_members,url,studio,themes,genres,demographics
20,8.92,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,Movie (1 eps),Jul 2013 - Jul 2013,"225,948 members",https://myanimelist.net/anime/15335/Gintama_Movie_2__Kanketsu-hen_-_Yorozuya_yo_Eien_Nare,Sunrise,"Gag Humor, Historical, Parody, Samurai, Time Travel","Action, Comedy, Sci-Fi",Shounen
21,8.91,Code Geass: Hangyaku no Lelouch R2,TV (25 eps),Apr 2008 - Sep 2008,"1,676,895 members",https://myanimelist.net/anime/2904/Code_Geass__Hangyaku_no_Lelouch_R2,Sunrise,"Mecha, Military, Super Power","Action, Award Winning, Drama, Sci-Fi",
22,8.91,Violet Evergarden Movie,Movie (1 eps),Sep 2020 - Sep 2020,"529,405 members",https://myanimelist.net/anime/37987/Violet_Evergarden_Movie,Kyoto Animation,,"Award Winning, Drama, Fantasy",
23,8.89,Bocchi the Rock!,TV (12 eps),Oct 2022 - Dec 2022,"373,353 members",https://myanimelist.net/anime/47917/Bocchi_the_Rock,CloverWorks,"CGDCT, Music",Comedy,
24,8.88,Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,TV (14 eps),Jul 2018 - Oct 2018,"181,898 members",https://myanimelist.net/anime/37491/Gintama__Shirogane_no_Tamashii-hen_-_Kouhan-sen,Bandai Namco Pictures,"Gag Humor, Historical, Parody, Samurai","Action, Comedy, Sci-Fi",Shounen
25,8.88,Owarimonogatari 2nd Season,TV (7 eps),Aug 2017 - Aug 2017,"374,843 members",https://myanimelist.net/anime/35247/Owarimonogatari_2nd_Season,Shaft,Vampire,"Comedy, Mystery, Supernatural",
26,8.86,Monster,TV (74 eps),Apr 2004 - Sep 2005,"981,980 members",https://myanimelist.net/anime/19/Monster,Madhouse,"Adult Cast, Psychological","Drama, Mystery, Suspense",Seinen
27,8.85,Kimi no Na wa.,Movie (1 eps),Aug 2016 - Aug 2016,"2,553,040 members",https://myanimelist.net/anime/32281/Kimi_no_Na_wa,CoMix Wave Films,Romantic Subtext,"Award Winning, Drama, Supernatural",
28,8.81,Gintama.: Shirogane no Tamashii-hen,TV (12 eps),Jan 2018 - Mar 2018,"196,333 members",https://myanimelist.net/anime/36838/Gintama__Shirogane_no_Tamashii-hen,Bandai Namco Pictures,"Gag Humor, Historical, Parody, Samurai","Action, Comedy, Sci-Fi",Shounen
29,8.81,Kimetsu no Yaiba: Yuukaku-hen,TV (11 eps),Dec 2021 - Feb 2022,"1,178,440 members",https://myanimelist.net/anime/47778/Kimetsu_no_Yaiba__Yuukaku-hen,ufotable,Historical,"Action, Fantasy",Shounen
30,8.81,Kingdom 3rd Season,TV (26 eps),Apr 2020 - Oct 2021,"88,144 members",https://myanimelist.net/anime/40682/Kingdom_3rd_Season,Pierrot,"Historical, Military",Action,Seinen
31,8.8,Mob Psycho 100 II,TV (13 eps),Jan 2019 - Apr 2019,"1,404,689 members",https://myanimelist.net/anime/37510/Mob_Psycho_100_II,Bones,Super Power,"Action, Comedy, Supernatural",
32,8.8,Shingeki no Kyojin: The Final Season,TV (16 eps),Dec 2020 - Mar 2021,"1,805,533 members",https://myanimelist.net/anime/40028/Shingeki_no_Kyojin__The_Final_Season,MAPPA,"Gore, Military, Survival","Action, Drama",Shounen
33,8.79,Kizumonogatari III: Reiketsu-hen,Movie (1 eps),Jan 2017 - Jan 2017,"433,753 members",https://myanimelist.net/anime/31758/Kizumonogatari_III__Reiketsu-hen,Shaft,Vampire,"Action, Mystery, Supernatural",
34,8.78,Sen to Chihiro no Kamikakushi,Movie (1 eps),Jul 2001 - Jul 2001,"1,733,839 members",https://myanimelist.net/anime/199/Sen_to_Chihiro_no_Kamikakushi,Studio Ghibli,Mythology,"Adventure, Award Winning, Supernatural",
35,8.78,Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,TV (10 eps),Oct 2016 - Dec 2016,"1,124,288 members",https://myanimelist.net/anime/32935/Haikyuu_Karasuno_Koukou_vs_Shiratorizawa_Gakuen_Koukou,Production I.G,"School, Team Sports",Sports,Shounen
36,8.77,Monogatari Series: Second Season,TV (26 eps),Jul 2013 - Dec 2013,"641,225 members",https://myanimelist.net/anime/17074/Monogatari_Series__Second_Season,Shaft,Vampire,"Comedy, Mystery, Romance, Supernatural",
37,8.77,Shingeki no Kyojin: The Final Season Part 2,TV (12 eps),Jan 2022 - Apr 2022,"1,091,498 members",https://myanimelist.net/anime/48583/Shingeki_no_Kyojin__The_Final_Season_Part_2,MAPPA,"Gore, Military, Survival","Action, Drama",Shounen
38,8.76,Hajime no Ippo,TV (75 eps),Oct 2000 - Mar 2002,"534,533 members",https://myanimelist.net/anime/263/Hajime_no_Ippo,Madhouse,Combat Sports,Sports,Shounen
39,8.75,Cowboy Bebop,TV (26 eps),Apr 1998 - Apr 1999,"1,745,228 members",https://myanimelist.net/anime/1/Cowboy_Bebop,Sunrise,"Adult Cast, Space","Action, Award Winning, Sci-Fi",
40,8.75,Kingdom 4th Season,TV (26 eps),Apr 2022 - Oct 2022,"50,951 members",https://myanimelist.net/anime/50160/Kingdom_4th_Season,Pierrot,"Historical, Military",Action,Seinen
41,8.74,Shiguang Dailiren,ONA (11 eps),Apr 2021 - Jul 2021,"283,516 members",https://myanimelist.net/anime/44074/Shiguang_Dailiren,Studio LAN,"Adult Cast, Time Travel","Drama, Supernatural",
42,8.73,Mob Psycho 100 III,TV (12 eps),Oct 2022 - Dec 2022,"535,605 members",https://myanimelist.net/anime/50172/Mob_Psycho_100_III,Bones,Super Power,"Action, Comedy, Supernatural",
43,8.73,Mushishi Zoku Shou 2nd Season,TV (10 eps),Oct 2014 - Dec 2014,"251,554 members",https://myanimelist.net/anime/24701/Mushishi_Zoku_Shou_2nd_Season,Artland,"Adult Cast, Historical, Iyashikei","Adventure, Fantasy, Mystery, Slice of Life, Supernatural",Seinen
44,8.73,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,TV (12 eps),Jan 2017 - Mar 2017,"178,731 members",https://myanimelist.net/anime/33095/Shouwa_Genroku_Rakugo_Shinjuu__Sukeroku_Futatabi-hen,Studio Deen,"Adult Cast, Historical, Love Polygon, Performing Arts",Drama,Josei
45,8.73,Vinland Saga,TV (24 eps),Jul 2019 - Dec 2019,"1,308,381 members",https://myanimelist.net/anime/37521/Vinland_Saga,Wit Studio,"Gore, Historical","Action, Adventure, Drama",Seinen
46,8.71,86 Part 2,TV (12 eps),Oct 2021 - Mar 2022,"412,651 members",https://myanimelist.net/anime/48569/86_Part_2,A-1 Pictures,"Mecha, Military","Action, Drama, Sci-Fi",
47,8.71,Ashita no Joe 2,TV (47 eps),Oct 1980 - Aug 1981,"46,716 members",https://myanimelist.net/anime/2921/Ashita_no_Joe_2,Tokyo Movie Shinsha,Combat Sports,"Drama, Sports",Shounen
48,8.71,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,OVA (4 eps),Feb 1999 - Sep 1999,"266,672 members",https://myanimelist.net/anime/44/Rurouni_Kenshin__Meiji_Kenkaku_Romantan_-_Tsuioku-hen,Studio Deen,"Adult Cast, Historical, Martial Arts, Samurai","Action, Drama, Romance",Shounen
49,8.7,Mushishi Zoku Shou,TV (10 eps),Apr 2014 - Jun 2014,"285,005 members",https://myanimelist.net/anime/21939/Mushishi_Zoku_Shou,Artland,"Adult Cast, Historical, Iyashikei","Adventure, Fantasy, Mystery, Slice of Life, Supernatural",Seinen
50,8.7,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,TV (12 eps),Oct 2021 - Dec 2021,"755,005 members",https://myanimelist.net/anime/45576/Mushoku_Tensei__Isekai_Ittara_Honki_Dasu_Part_2,Studio Bind,"Isekai, Reincarnation","Drama, Fantasy, Ecchi",
