ranking,score,title,url,studio,themes,genres,demographics,emission_type,number_episodes,members,first_emission,last_emission,year,month
27,8.86,Monster,https://myanimelist.net/anime/19/Monster,madhouse,"['adult_cast', 'psychological']","['drama', 'mystery', 'suspense']",seinen,tv,74.0,994900.0,2004-04-01,2005-09-01,2004.0,4.0
28,8.85,Kimi no Na wa.,https://myanimelist.net/anime/32281/Kimi_no_Na_wa,comix_wave_films,['romantic_subtext'],"['award_winning', 'drama', 'supernatural']",not_available,movie,1.0,2574552.0,2016-08-01,2016-08-01,2016.0,8.0
29,8.81,Gintama.: Shirogane no Tamashii-hen,https://myanimelist.net/anime/36838/Gintama__Shirogane_no_Tamashii-hen,bandai_namco_pictures,"['gag_humor', 'historical', 'parody', 'samurai']","['action', 'comedy', 'sci_fi']",shounen,tv,12.0,198110.0,2018-01-01,2018-03-01,2018.0,1.0
30,8.81,Kingdom 3rd Season,https://myanimelist.net/anime/40682/Kingdom_3rd_Season,pierrot,"['historical', 'military']",['action'],seinen,tv,26.0,89441.0,2020-04-01,2021-10-01,2020.0,4.0
31,8.8,Kimetsu no Yaiba: Yuukaku-hen,https://myanimelist.net/anime/47778/Kimetsu_no_Yaiba__Yuukaku-hen,ufotable,['historical'],"['action', 'fantasy']",shounen,tv,11.0,1209270.0,2021-12-01,2022-02-01,2021.0,12.0
32,8.8,Mob Psycho 100 II,https://myanimelist.net/anime/37510/Mob_Psycho_100_II,bones,['super_power'],"['action', 'comedy', 'supernatural']",not_available,tv,13.0,1417761.0,2019-01-01,2019-04-01,2019.0,1.0
33,8.8,Shingeki no Kyojin: The Final Season,https://myanimelist.net/anime/40028/Shingeki_no_Kyojin__The_Final_Season,mappa,"['gore', 'military', 'survival']","['action', 'drama']",shounen,tv,16.0,1824861.0,2020-12-01,2021-03-01,2020.0,12.0
34,8.79,Kizumonogatari III: Reiketsu-hen,https://myanimelist.net/anime/31758/Kizumonogatari_III__Reiketsu-hen,shaft,['vampire'],"['action', 'mystery', 'supernatural']",not_available,movie,1.0,436439.0,2017-01-01,2017-01-01,2017.0,1.0
35,8.78,Sen to Chihiro no Kamikakushi,https://myanimelist.net/anime/199/Sen_to_Chihiro_no_Kamikakushi,studio_ghibli,['mythology'],"['adventure', 'award_winning', 'supernatural']",not_available,movie,1.0,1746039.0,2001-07-01,2001-07-01,2001.0,7.0
36,8.78,Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,https://myanimelist.net/anime/32935/Haikyuu_Karasuno_Koukou_vs_Shiratorizawa_Gakuen_Koukou,production_i_g,"['school', 'team_sports']",['sports'],shounen,tv,10.0,1131954.0,2016-10-01,2016-12-01,2016.0,10.0
37,8.77,Monogatari Series: Second Season,https://myanimelist.net/anime/17074/Monogatari_Series__Second_Season,shaft,['vampire'],"['comedy', 'mystery', 'romance', 'supernatural']",not_available,tv,26.0,643993.0,2013-07-01,2013-12-01,2013.0,7.0
38,8.77,Shingeki no Kyojin: The Final Season Part 2,https://myanimelist.net/anime/48583/Shingeki_no_Kyojin__The_Final_Season_Part_2,mappa,"['gore', 'military', 'survival']","['action', 'drama']",shounen,tv,12.0,1111638.0,2022-01-01,2022-04-01,2022.0,1.0
39,8.76,Hajime no Ippo,https://myanimelist.net/anime/263/Hajime_no_Ippo,madhouse,['combat_sports'],['sports'],shounen,tv,75.0,539698.0,2000-10-01,2002-03-01,2000.0,10.0
40,8.75,Cowboy Bebop,https://myanimelist.net/anime/1/Cowboy_Bebop,sunrise,"['adult_cast', 'space']","['action', 'award_winning', 'sci_fi']",not_available,tv,26.0,1757066.0,1998-04-01,1999-04-01,1998.0,4.0
41,8.75,Kingdom 4th Season,https://myanimelist.net/anime/50160/Kingdom_4th_Season,pierrot,"['historical', 'military']",['action'],seinen,tv,26.0,52089.0,2022-04-01,2022-10-01,2022.0,4.0
42,8.74,Shiguang Dailiren,https://myanimelist.net/anime/44074/Shiguang_Dailiren,lan_studio,"['adult_cast', 'time_travel']","['drama', 'supernatural']",not_available,ona,11.0,288803.0,2021-04-01,2021-07-01,2021.0,4.0
43,8.74,Vinland Saga,https://myanimelist.net/anime/37521/Vinland_Saga,wit_studio,"['gore', 'historical']","['action', 'adventure', 'drama']",seinen,tv,24.0,1329378.0,2019-07-01,2019-12-01,2019.0,7.0
44,8.73,Mob Psycho 100 III,https://myanimelist.net/anime/50172/Mob_Psycho_100_III,bones,['super_power'],"['action', 'comedy', 'supernatural']",not_available,tv,12.0,552210.0,2022-10-01,2022-12-01,2022.0,10.0
45,8.73,Mushishi Zoku Shou 2nd Season,https://myanimelist.net/anime/24701/Mushishi_Zoku_Shou_2nd_Season,artland,"['adult_cast', 'historical', 'iyashikei']","['adventure', 'mystery', 'slice_of_life', 'supernatural']",seinen,tv,10.0,252829.0,2014-10-01,2014-12-01,2014.0,10.0
46,8.73,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,https://myanimelist.net/anime/33095/Shouwa_Genroku_Rakugo_Shinjuu__Sukeroku_Futatabi-hen,studio_deen,"['adult_cast', 'historical', 'love_polygon', 'performing_arts']",['drama'],josei,tv,12.0,179543.0,2017-01-01,2017-03-01,2017.0,1.0
47,8.72,Ashita no Joe 2,https://myanimelist.net/anime/2921/Ashita_no_Joe_2,tokyo_movie_shinsha,['combat_sports'],"['drama', 'sports']",shounen,tv,47.0,47154.0,1980-10-01,1981-08-01,1980.0,10.0
48,8.71,86 Part 2,https://myanimelist.net/anime/48569/86_Part_2,a_1_pictures,"['mecha', 'military']","['action', 'drama', 'sci_fi']",not_available,tv,12.0,421582.0,2021-10-01,2022-03-01,2021.0,10.0
49,8.71,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,https://myanimelist.net/anime/44/Rurouni_Kenshin__Meiji_Kenkaku_Romantan_-_Tsuioku-hen,studio_deen,"['adult_cast', 'historical', 'martial_arts', 'samurai']","['action', 'drama', 'romance']",shounen,ova,4.0,267481.0,1999-02-01,1999-09-01,1999.0,2.0
50,8.7,Mushishi Zoku Shou,https://myanimelist.net/anime/21939/Mushishi_Zoku_Shou,artland,"['adult_cast', 'historical', 'iyashikei']","['adventure', 'mystery', 'slice_of_life', 'supernatural']",seinen,tv,10.0,286444.0,2014-04-01,2014-06-01,2014.0,4.0
51,8.7,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,https://myanimelist.net/anime/45576/Mushoku_Tensei__Isekai_Ittara_Honki_Dasu_Part_2,studio_bind,"['isekai', 'reincarnation']","['drama', 'fantasy', 'ecchi']",not_available,tv,12.0,769039.0,2021-10-01,2021-12-01,2021.0,10.0
52,8.7,Code Geass: Hangyaku no Lelouch,https://myanimelist.net/anime/1575/Code_Geass__Hangyaku_no_Lelouch,sunrise,"['mecha', 'military', 'school', 'super_power']","['action', 'award_winning', 'drama', 'sci_fi']",not_available,tv,25.0,2136960.0,2006-10-01,2007-07-01,2006.0,10.0
53,8.69,Great Teacher Onizuka,https://myanimelist.net/anime/245/Great_Teacher_Onizuka,pierrot,"['delinquents', 'school', 'workplace']",['comedy'],shounen,tv,43.0,782245.0,1999-06-01,2000-09-01,1999.0,6.0
54,8.69,Vinland Saga Season 2,https://myanimelist.net/anime/49387/Vinland_Saga_Season_2,mappa,"['gore', 'historical']","['action', 'adventure', 'drama']",seinen,tv,24.0,390136.0,,,,
55,8.69,Odd Taxi,https://myanimelist.net/anime/46102/Odd_Taxi,olm,['anthropomorphic'],"['award_winning', 'mystery']",not_available,tv,13.0,382053.0,2021-04-01,2021-06-01,2021.0,4.0
56,8.69,One Piece,https://myanimelist.net/anime/21/One_Piece,toei_animation,['not_available'],"['action', 'adventure', 'fantasy']",shounen,tv,,2144793.0,,,,
57,8.68,Fate/stay night Movie: Heaven's Feel - III. Spring Song,https://myanimelist.net/anime/33050/Fate_stay_night_Movie__Heavens_Feel_-_III_Spring_Song,ufotable,['not_available'],"['action', 'fantasy', 'supernatural']",not_available,movie,1.0,318619.0,2020-08-01,2020-08-01,2020.0,8.0
58,8.67,Made in Abyss: Retsujitsu no Ougonkyou,https://myanimelist.net/anime/41084/Made_in_Abyss__Retsujitsu_no_Ougonkyou,kinema_citrus,"['gore', 'survival']","['adventure', 'drama', 'fantasy', 'mystery', 'sci_fi']",not_available,tv,12.0,373820.0,2022-07-01,2022-09-01,2022.0,7.0
59,8.67,Mononoke Hime,https://myanimelist.net/anime/164/Mononoke_Hime,studio_ghibli,['not_available'],"['action', 'adventure', 'award_winning', 'fantasy']",not_available,movie,1.0,1180984.0,1997-07-01,1997-07-01,1997.0,7.0
60,8.67,Violet Evergarden,https://myanimelist.net/anime/33352/Violet_Evergarden,kyoto_animation,['not_available'],"['drama', 'fantasy']",not_available,tv,13.0,1661523.0,2018-01-01,2018-04-01,2018.0,1.0
61,8.66,Hajime no Ippo: New Challenger,https://myanimelist.net/anime/5258/Hajime_no_Ippo__New_Challenger,madhouse,['combat_sports'],['sports'],shounen,tv,26.0,264865.0,2009-01-01,2009-07-01,2009.0,1.0
62,8.66,Howl no Ugoku Shiro,https://myanimelist.net/anime/431/Howl_no_Ugoku_Shiro,studio_ghibli,['not_available'],"['adventure', 'award_winning', 'drama', 'fantasy', 'romance']",not_available,movie,1.0,1240902.0,2004-11-01,2004-11-01,2004.0,11.0
63,8.66,Made in Abyss,https://myanimelist.net/anime/34599/Made_in_Abyss,kinema_citrus,"['gore', 'survival']","['adventure', 'drama', 'fantasy', 'mystery', 'sci_fi']",not_available,tv,13.0,1279968.0,2017-07-01,2017-09-01,2017.0,7.0
64,8.66,Mushishi,https://myanimelist.net/anime/457/Mushishi,artland,"['adult_cast', 'historical', 'iyashikei']","['adventure', 'mystery', 'slice_of_life', 'supernatural']",seinen,tv,26.0,788781.0,2005-10-01,2006-06-01,2005.0,10.0
65,8.65,Natsume Yuujinchou Shi,https://myanimelist.net/anime/11665/Natsume_Yuujinchou_Shi,brain_base,"['iyashikei', 'mythology']","['drama', 'slice_of_life', 'supernatural']",shoujo,tv,13.0,234871.0,2012-01-01,2012-03-01,2012.0,1.0
66,8.65,Shigatsu wa Kimi no Uso,https://myanimelist.net/anime/23273/Shigatsu_wa_Kimi_no_Uso,a_1_pictures,"['music', 'school']","['drama', 'romance']",shounen,tv,22.0,2096111.0,2014-10-01,2015-03-01,2014.0,10.0
67,8.65,JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 3,https://myanimelist.net/anime/53273/JoJo_no_Kimyou_na_Bouken_Part_6__Stone_Ocean_Part_3,david_production,['not_available'],"['action', 'adventure', 'supernatural']",shounen,ona,14.0,139483.0,2022-12-01,2022-12-01,2022.0,12.0
68,8.64,Jujutsu Kaisen,https://myanimelist.net/anime/40748/Jujutsu_Kaisen,mappa,['school'],"['action', 'award_winning', 'fantasy']",shounen,tv,24.0,2219628.0,2020-10-01,2021-03-01,2020.0,10.0
69,8.64,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,https://myanimelist.net/anime/40591/Kaguya-sama_wa_Kokurasetai_Tensai-tachi_no_Renai_Zunousen,a_1_pictures,"['psychological', 'romantic_subtext', 'school']",['comedy'],seinen,tv,12.0,1243437.0,2020-04-01,2020-06-01,2020.0,4.0
70,8.64,Kimetsu no Yaiba: Katanakaji no Sato-hen,https://myanimelist.net/anime/51019/Kimetsu_no_Yaiba__Katanakaji_no_Sato-hen,ufotable,['historical'],"['action', 'fantasy']",shounen,tv,,449894.0,,,,
71,8.63,Made in Abyss Movie 3: Fukaki Tamashii no Reimei,https://myanimelist.net/anime/36862/Made_in_Abyss_Movie_3__Fukaki_Tamashii_no_Reimei,kinema_citrus,"['gore', 'survival']","['adventure', 'drama', 'fantasy', 'mystery', 'sci_fi']",not_available,movie,1.0,415732.0,2020-01-01,2020-01-01,2020.0,1.0
72,8.63,Spy x Family,https://myanimelist.net/anime/50265/Spy_x_Family,wit_studio,['childcare'],"['action', 'award_winning', 'comedy']",shounen,tv,12.0,1318194.0,2022-04-01,2022-06-01,2022.0,4.0
73,8.63,Tengen Toppa Gurren Lagann,https://myanimelist.net/anime/2001/Tengen_Toppa_Gurren_Lagann,gainax,['mecha'],"['action', 'adventure', 'award_winning', 'sci_fi']",not_available,tv,27.0,1538631.0,2007-04-01,2007-09-01,2007.0,4.0
74,8.63,Haikyuu!! Second Season,https://myanimelist.net/anime/28891/Haikyuu_Second_Season,production_i_g,"['school', 'team_sports']",['sports'],shounen,tv,25.0,1349896.0,2015-10-01,2016-03-01,2015.0,10.0
75,8.62,Death Note,https://myanimelist.net/anime/1535/Death_Note,madhouse,"['detective', 'psychological']","['supernatural', 'suspense']",shounen,tv,37.0,3684851.0,2006-10-01,2007-06-01,2006.0,10.0
76,8.62,Kimetsu no Yaiba Movie: Mugen Ressha-hen,https://myanimelist.net/anime/40456/Kimetsu_no_Yaiba_Movie__Mugen_Ressha-hen,ufotable,['historical'],"['action', 'fantasy']",shounen,movie,1.0,1374007.0,2020-10-01,2020-10-01,2020.0,10.0
77,8.62,Natsume Yuujinchou Roku,https://myanimelist.net/anime/34591/Natsume_Yuujinchou_Roku,shuka,"['iyashikei', 'mythology']","['drama', 'slice_of_life', 'supernatural']",shoujo,tv,11.0,176260.0,2017-04-01,2017-06-01,2017.0,4.0
78,8.62,Ping Pong the Animation,https://myanimelist.net/anime/22135/Ping_Pong_the_Animation,tatsunoko_production,['not_available'],"['award_winning', 'drama', 'sports']",seinen,tv,11.0,371500.0,2014-04-01,2014-06-01,2014.0,4.0
79,8.62,Shingeki no Kyojin Season 3,https://myanimelist.net/anime/35760/Shingeki_no_Kyojin_Season_3,wit_studio,"['gore', 'military', 'survival']","['action', 'drama']",shounen,tv,12.0,2189954.0,2018-07-01,2018-10-01,2018.0,7.0
80,8.61,Suzumiya Haruhi no Shoushitsu,https://myanimelist.net/anime/7311/Suzumiya_Haruhi_no_Shoushitsu,kyoto_animation,['school'],"['award_winning', 'mystery', 'sci_fi', 'supernatural']",not_available,movie,1.0,586984.0,2010-02-01,2010-02-01,2010.0,2.0
81,8.61,Cyberpunk: Edgerunners,https://myanimelist.net/anime/42310/Cyberpunk__Edgerunners,trigger,"['gore', 'psychological']","['action', 'sci_fi']",not_available,ona,10.0,553669.0,2022-09-01,2022-09-01,2022.0,9.0
82,8.61,Evangelion: 3.0+1.0 Thrice Upon a Time,https://myanimelist.net/anime/3786/Evangelion__30_10_Thrice_Upon_a_Time,khara,"['mecha', 'psychological']","['action', 'award_winning', 'drama', 'sci_fi', 'suspense']",not_available,movie,1.0,341695.0,2021-03-01,2021-03-01,2021.0,3.0
83,8.6,Chainsaw Man,https://myanimelist.net/anime/44511/Chainsaw_Man,mappa,['gore'],"['action', 'fantasy']",shounen,tv,12.0,1231939.0,2022-10-01,2022-12-01,2022.0,10.0
84,8.6,Mo Dao Zu Shi: Wanjie Pian,https://myanimelist.net/anime/40434/Mo_Dao_Zu_Shi__Wanjie_Pian,b_cmay_pictures,"['historical', 'mythology', 'reincarnation']","['action', 'adventure', 'drama', 'fantasy', 'mystery']",not_available,ona,12.0,70729.0,2021-08-01,2021-10-01,2021.0,8.0
85,8.6,Mushishi Zoku Shou: Suzu no Shizuku,https://myanimelist.net/anime/28957/Mushishi_Zoku_Shou__Suzu_no_Shizuku,artland,"['adult_cast', 'historical', 'iyashikei']","['adventure', 'mystery', 'slice_of_life', 'supernatural']",seinen,movie,1.0,122319.0,2015-05-01,2015-05-01,2015.0,5.0
86,8.6,Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,https://myanimelist.net/anime/38329/Seishun_Buta_Yarou_wa_Yumemiru_Shoujo_no_Yume_wo_Minai,cloverworks,['school'],"['drama', 'romance', 'supernatural']",not_available,movie,1.0,657619.0,2019-06-01,2019-06-01,2019.0,6.0
87,8.59,Hajime no Ippo: Rising,https://myanimelist.net/anime/19647/Hajime_no_Ippo__Rising,madhouse,['combat_sports'],['sports'],shounen,tv,25.0,238832.0,2013-10-01,2014-03-01,2013.0,10.0
88,8.58,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,https://myanimelist.net/anime/37991/JoJo_no_Kimyou_na_Bouken_Part_5__Ougon_no_Kaze,david_production,['organized_crime'],"['action', 'adventure', 'supernatural']",shounen,tv,39.0,947405.0,2018-10-01,2019-07-01,2018.0,10.0
89,8.58,Kizumonogatari II: Nekketsu-hen,https://myanimelist.net/anime/31757/Kizumonogatari_II__Nekketsu-hen,shaft,['vampire'],"['action', 'mystery', 'supernatural']",not_available,movie,1.0,421962.0,2016-08-01,2016-08-01,2016.0,8.0
90,8.58,Ookami Kodomo no Ame to Yuki,https://myanimelist.net/anime/12355/Ookami_Kodomo_no_Ame_to_Yuki,studio_chizu,['childcare'],"['award_winning', 'fantasy', 'slice_of_life']",not_available,movie,1.0,778816.0,2012-07-01,2012-07-01,2012.0,7.0
91,8.57,Natsume Yuujinchou Go,https://myanimelist.net/anime/32983/Natsume_Yuujinchou_Go,shuka,"['iyashikei', 'mythology']","['drama', 'slice_of_life', 'supernatural']",shoujo,tv,11.0,175650.0,2016-10-01,2016-12-01,2016.0,10.0
92,8.57,Natsume Yuujinchou San,https://myanimelist.net/anime/10379/Natsume_Yuujinchou_San,brain_base,"['iyashikei', 'mythology']","['drama', 'slice_of_life', 'supernatural']",shoujo,tv,13.0,242090.0,2011-07-01,2011-09-01,2011.0,7.0
93,8.57,Shouwa Genroku Rakugo Shinjuu,https://myanimelist.net/anime/28735/Shouwa_Genroku_Rakugo_Shinjuu,studio_deen,"['historical', 'love_polygon', 'performing_arts']",['drama'],josei,tv,13.0,279960.0,2016-01-01,2016-04-01,2016.0,1.0
94,8.57,Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,https://myanimelist.net/anime/4565/Tengen_Toppa_Gurren_Lagann_Movie_2__Lagann-hen,gainax,"['mecha', 'space', 'super_power']","['action', 'sci_fi']",not_available,movie,1.0,205869.0,2009-04-01,2009-04-01,2009.0,4.0
95,8.57,Yojouhan Shinwa Taikei,https://myanimelist.net/anime/7785/Yojouhan_Shinwa_Taikei,madhouse,"['psychological', 'time_travel']","['award_winning', 'comedy', 'mystery', 'romance']",not_available,tv,11.0,425827.0,2010-04-01,2010-07-01,2010.0,4.0
96,8.56,Fruits Basket 2nd Season,https://myanimelist.net/anime/40417/Fruits_Basket_2nd_Season,tms_entertainment,['school'],"['drama', 'romance', 'supernatural']",shoujo,tv,25.0,463795.0,2020-04-01,2020-09-01,2020.0,4.0
97,8.56,Kenpuu Denki Berserk,https://myanimelist.net/anime/33/Kenpuu_Denki_Berserk,olm,"['gore', 'military']","['action', 'adventure', 'drama', 'fantasy', 'horror']",seinen,tv,25.0,601581.0,1997-10-01,1998-04-01,1997.0,10.0
98,8.56,Kimi no Suizou wo Tabetai,https://myanimelist.net/anime/36098/Kimi_no_Suizou_wo_Tabetai,studio_voln,['school'],"['drama', 'romance']",not_available,movie,1.0,884684.0,2018-09-01,2018-09-01,2018.0,9.0
99,8.55,Neon Genesis Evangelion: The End of Evangelion,https://myanimelist.net/anime/32/Neon_Genesis_Evangelion__The_End_of_Evangelion,gainax,"['mecha', 'psychological']","['avant_garde', 'drama', 'sci_fi']",not_available,movie,1.0,870461.0,1997-07-01,1997-07-01,1997.0,7.0
100,8.55,Ousama Ranking,https://myanimelist.net/anime/40834/Ousama_Ranking,wit_studio,['not_available'],"['adventure', 'fantasy']",not_available,tv,23.0,564549.0,2021-10-01,2022-03-01,2021.0,10.0
101,8.55,Zoku Natsume Yuujinchou,https://myanimelist.net/anime/5300/Zoku_Natsume_Yuujinchou,brain_base,"['iyashikei', 'mythology']","['drama', 'slice_of_life', 'supernatural']",shoujo,tv,13.0,238465.0,2009-01-01,2009-03-01,2009.0,1.0
102,8.55,Fate/Zero 2nd Season,https://myanimelist.net/anime/11741/Fate_Zero_2nd_Season,ufotable,['not_available'],"['action', 'fantasy', 'supernatural']",not_available,tv,12.0,1068716.0,2012-04-01,2012-06-01,2012.0,4.0
103,8.54,Haikyuu!! To the Top Part 2,https://myanimelist.net/anime/40776/Haikyuu_To_the_Top_Part_2,production_i_g,"['school', 'team_sports']",['sports'],shounen,tv,12.0,747604.0,2020-10-01,2020-12-01,2020.0,10.0
104,8.54,Karakai Jouzu no Takagi-san Movie,https://myanimelist.net/anime/49722/Karakai_Jouzu_no_Takagi-san_Movie,shin_ei_animation,"['iyashikei', 'romantic_subtext', 'school']",['not_available'],shounen,movie,1.0,56031.0,2022-06-01,2022-06-01,2022.0,6.0
105,8.54,Mushishi: Hihamukage,https://myanimelist.net/anime/21329/Mushishi__Hihamukage,artland,"['adult_cast', 'historical', 'iyashikei']","['adventure', 'mystery', 'slice_of_life', 'supernatural']",seinen,special,1.0,132658.0,2014-01-01,2014-01-01,2014.0,1.0
